group,outcome,n,n_treated,n_control,p_treated,treated_obs_rate,control_obs_rate,obs_mean_treated,obs_mean_control,obs_diff_treated_minus_control,y1_lower,y1_upper,y0_lower,y0_upper,ate_lower,ate_upper,ate_midpoint,ate_width,robust_sign,optimistic_choice,conservative_choice
BAP_students,Prom__20162,411,311,100,0.7566909975669099,0.9453376205787781,0.39,4.244795918367347,4.013333333333334,0.23146258503401373,3.3210948905109494,5.029124087591241,1.2859367396593675,6.716593673965937,-3.3954987834549875,3.743187347931874,0.17384428223844317,7.138686131386861,Ambiguous (sign not identified),Continue,Opt-out
BAP_students,Tasa_aprob_20162,411,311,100,0.7566909975669099,0.9453376205787781,0.39,0.6821266601878847,0.6560439560439562,0.026082704143928548,0.48794461823658897,0.7726161510833044,0.06225234619395205,0.9673618352450469,-0.47941721700845796,0.7103638048893524,0.1154732939404472,1.1897810218978102,Ambiguous (sign not identified),Continue,Opt-out
VAI_students,Prom__20162,375,265,110,0.7066666666666667,0.9358490566037736,0.4090909090909091,4.191532258064516,3.9613333333333336,0.23019892473118242,3.110666666666667,5.142666666666666,1.3553600000000001,6.6353599999999995,-3.5246933333333326,3.787306666666666,0.13130666666666668,7.3119999999999985,Ambiguous (sign not identified),Continue,Opt-out
VAI_students,Tasa_aprob_20162,375,265,110,0.7066666666666667,0.9358490566037736,0.4090909090909091,0.6669642857142857,0.6456084656084656,0.021355820105820045,0.4410857142857143,0.779752380952381,0.07747301587301587,0.9574730158730158,-0.5163873015873015,0.7022793650793651,0.09294603174603178,1.2186666666666666,Ambiguous (sign not identified),Continue,Opt-out
