BAP,PTJE_RANKING,PTJE_LYC,PTJE_MAT,VAI,BAP,Tut_20161,Tut_20162,Tasa_aprob_20161,Prom__20161,Tasa_aprob_20162,Prom__20162
0,712.0,597.0,616.0,0.0,0.0,,7.0,1.0,5.04,0.8571428571428571,4.75
1,742.0,521.0,546.0,1.0,1.0,13.0,13.0,0.8333333333333334,4.6,0.75,4.46
