VAI,PTJE_RANKING,PTJE_LYC,PTJE_MAT,VAI,BAP,Tut_20161,Tut_20162,Tasa_aprob_20161,Prom__20161,Tasa_aprob_20162,Prom__20162
0,713.0,597.0,614.0,0.0,0.0,5.5,10.0,1.0,5.04,0.8571428571428571,4.75
1,735.0,514.0,539.0,1.0,1.0,14.0,13.0,0.7142857142857143,4.53,0.7142857142857143,4.43
